movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
When in Rome,2010-01-29,Romantic Comedy,PG-13,32680633,34917330
Alice in Wonderland,2010-03-05,Adventure,PG,334191110,357063499
Waking Sleeping Beauty,2010-03-26,Documentary,PG,80741,86264
The Last Song,2010-03-31,Drama,PG,62950384,67258772
Oceans,2010-04-22,Documentary,G,19422319,20751600
Prince of Persia: Sands of Time,2010-05-28,Action,PG-13,90759676,96971361
Toy Story 3,2010-06-18,Adventure,G,415004880,443408255
The Sorcerer's Apprentice,2010-07-14,Adventure,PG,63150991,67473105
Step Up 3D,2010-08-06,Drama,PG-13,42400223,45302137
Gedo Senki (Tales from Earthsea),2010-08-13,Adventure,PG-13,48658,51988
You Again,2010-09-24,Comedy,PG,25702053,27461121
Secretariat,2010-10-08,Drama,PG,59699513,63781920
Tangled,2010-11-24,Adventure,PG,200821936,214388548
Tron: Legacy,2010-12-17,Adventure,PG,172062763,183619259
Gnomeo and Juliet,2011-02-11,Comedy,G,99967670,106270797
I am Number Four,2011-02-18,Adventure,PG-13,55100437,58574607
Mars Needs Moms,2011-03-11,Adventure,PG,21392758,22741603
African Cats,2011-04-22,Documentary,G,15428747,16401551
Zokkomon,2011-04-22,Adventure,PG,2815,2984
Prom,2011-04-29,Comedy,PG,10130219,10768946
Pirates of the Caribbean: On Stranger…,2011-05-20,Adventure,PG-13,241063875,256263359
Cars 2,2011-06-24,Adventure,G,191450875,203522177
Winnie the Pooh,2011-07-15,Adventure,G,26692846,28375869
The Help,2011-08-10,Drama,PG-13,169705587,180404976
Fright Night,2011-08-19,Horror,R,18298649,19452402
Real Steel,2011-10-07,Action,PG-13,85463309,90848019
The Muppets,2011-11-23,Comedy,PG,88625922,94189503
War Horse,2011-12-25,Drama,PG-13,79883359,84762149
The Secret World of Arietty,2012-02-17,Adventure,G,19192510,20325733
John Carter,2012-03-09,Adventure,PG-13,73058679,77372445
Chimpanzee,2012-04-20,Documentary,G,28965459,30675725
The Avengers,2012-05-04,Action,PG-13,623279547,660081224
Brave,2012-06-22,Adventure,PG,237282182,251292441
People Like Us,2012-06-29,Drama,PG-13,12431792,13165822
The Odd Life of Timothy Green,2012-08-15,Drama,PG,51853450,54914942
Frankenweenie,2012-10-05,Comedy,PG,35287788,37363513
Wreck-It Ralph,2012-11-02,Adventure,PG,189412677,200354959
Lincoln,2012-11-09,Drama,PG-13,182207973,192122330
Oz the Great and Powerful,2013-03-08,Adventure,PG,234770996,243434130
Iron Man 3,2013-05-03,Action,PG-13,408992272,424084233
Monsters University,2013-06-21,Adventure,G,268488329,278395641
The Lone Ranger,2013-07-02,Western,PG-13,89302115,92597388
Disney Planes,2013-08-09,Comedy,PG,90282580,93614037
The Fifth Estate,2013-10-18,Drama,R,3254172,3374251
Thor: The Dark World,2013-11-08,Adventure,PG-13,206362140,213962184
Kaze Tachinu,2013-11-08,Drama,PG-13,5201879,5367415
Frozen,2013-11-22,Adventure,PG,400738009,414997174
Delivery Man,2013-11-22,Comedy,PG-13,30659817,31787136
Saving Mr. Banks,2013-12-13,Drama,PG-13,83299761,86249969
Need for Speed,2014-03-14,Action,PG-13,43568507,44955015
Muppets Most Wanted,2014-03-21,Comedy,PG,51178893,52807594
Captain America: The Winter Soldier,2014-04-04,Action,PG-13,259746958,268013076
Bears,2014-04-18,Documentary,G,17780194,18346024
Million Dollar Arm,2014-05-10,Drama,PG,36447959,37607865
Maleficent,2014-05-30,Adventure,PG,241407328,249089809
Planes: Fire and Rescue,2014-07-18,Adventure,PG,59157732,61040349
Guardians of the Galaxy,2014-08-01,Adventure,PG-13,333172112,343771168
The Hundred-Foot Journey,2014-08-08,Romantic Comedy,PG,54235441,55961409
"Alexander and the Terrible, Horrible,…",2014-10-10,Comedy,PG,66954149,69055550
Big Hero 6,2014-11-07,Adventure,PG,222527828,229249222
Into the Woods,2014-12-25,Musical,PG,128002372,130894237
Strange Magic,2015-01-23,Adventure,PG,12429583,12429583
"McFarland, USA",2015-02-20,Drama,PG,44480275,44480275
Cinderella,2015-03-13,Drama,PG,201151353,201151353
Monkey Kingdom,2015-04-17,Documentary,G,16432322,16432322
Avengers: Age of Ultron,2015-05-01,Action,PG-13,459005868,459005868
Tomorrowland,2015-05-22,Adventure,PG,93436322,93436322
Inside Out,2015-06-19,Adventure,PG,356461711,356461711
Ant-Man,2015-07-17,Action,PG-13,180202163,180202163
Bridge of Spies,2015-10-16,Thriller/Suspense,PG-13,72313754,72313754
The Good Dinosaur,2015-11-25,Adventure,PG,123087120,123087120
Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,PG-13,936662225,936662225
The Finest Hours,2016-01-29,Thriller/Suspense,PG,27569558,27569558
Zootopia,2016-03-04,Adventure,PG,341268248,341268248
The Jungle Book,2016-04-15,Adventure,PG,364001123,364001123
A Beautiful Planet,2016-04-29,Documentary,G,7895708,7895708
Captain America: Civil War,2016-05-06,Action,PG-13,408084349,408084349
Alice Through the Looking Glass,2016-05-27,Adventure,PG,77042381,77042381
Finding Dory,2016-06-17,Adventure,PG,486295561,486295561
The BFG,2016-07-01,Adventure,PG,55483770,55483770
Pete’s Dragon,2016-08-12,Adventure,PG,76233151,76233151
The Light Between Oceans,2016-09-02,Drama,PG-13,12545979,12545979
Queen of Katwe,2016-09-23,Drama,PG,8874389,8874389
Doctor Strange,2016-11-04,Adventure,PG-13,232532923,232532923
Moana,2016-11-23,Adventure,PG,246082029,246082029
Rogue One: A Star Wars Story,2016-12-16,Adventure,PG-13,529483936,529483936
